
John Gibson,John Gibson,1.0
John Gilmour,John Gilmour,1.0
John Hayden,John Hayden,1.0
John Klingberg,John Klingberg,1.0
John Marino,John Marino,1.0
John Moore,John Moore,1.0
John Quenneville,John Quenneville,1.0
John Tavares,John Tavares,1.0
John Tavares,John Tavares C,0.9230769230769231
Johnny Boychuk,Johnny Boychuk,1.0
Johnny Gaudreau,Johnny Gaudreau,1.0
J. Marchessault,Jon Marchessault,0.9032258064516129
Jon Merrill,Jon Merrill,1.0
Jonas Brodin,Jonas Brodin,1.0
Jonas Siegenthaler,Jonas Siegenthaler,1.0
Jonathan Bernier,Jonathan Bernier,1.0
Jonathan Davidsson,Jonathan Davidsson,1.0
Jonathan Drouin,Jonathan Drouin,1.0
Jonathan Ericsson,Jonathan Ericsson,1.0
Jonathan Huberdeau,Jonathan Huberdeau,1.0
J. Marchessault,Jonathan Marchessault,0.7777777777777778
Jonathan Quick,Jonathan Quick,1.0
Jonathan Toews,Jonathan Toews C,0.9333333333333333
Jon Merrill,Jonathon Merrill,0.8148148148148148
Jonny Brodzinski,Jonny Brodzinski,1.0
Joona Luoto,Joona Luoto,1.0
Joonas Donskoi,Joonas Donskoi,1.0
Joonas Korpisalo,Joonas Korpisalo,1.0
Jordan Binnington,Jordan Binnington,1.0
Jordan Eberle,Jordan Eberle,1.0
Jordan Greenway,Jordan Greenway,1.0
Jordan Kyrou,Jordan Kyrou,1.0
Jordan Martinook,Jordan Martinook,1.0
Jordan Nolan,Jordan Nolan,1.0
Jordan Oesterle,Jordan Oesterle,1.0
Jordan Schmaltz,Jordan Schmaltz,1.0
Jordan Staal,Jordan Staal,1.0
Jordan Staal,Jordan Staal C,0.9230769230769231
Jordan Weal,Jordan Weal,1.0
Jordie Benn,Jordie Benn,1.0
Jori Lehtera,Jori Lehtera,1.0
Joseph Blandisi,Joseph Blandisi,1.0
Dylan Gambrell,Joseph Gambardella,0.5625
Joe Morrow,Joseph Morrow,0.8695652173913043
Josh Anderson,Josh Anderson,1.0
Josh Archibald,Josh Archibald,1.0
Josh Bailey,Josh Bailey,1.0
Josh Brown,Josh Brown,1.0
