"","Team","PlayerPosition","GameDate","Goals","Assists","Points","PlusMinus","Penalties","EGoals","PPGoals","SHGoals","GWGoals","EVAssits","PPAssits","SHAssits","ShotsOnGoal","ShootingPer","Shits","MP","Hits","Blocks","FaceOffWins","FaceOffLoss","FaceOffPer","GoalsOpp","AssistsOpp","EVAssitsOpp","ShotsOnGoalOpp","HitsOpp","BlocksOpp"
"66","CBJ","F","2019-03-15",0.18,0.26,0.44,0.92,0.74,0.12,0.04,0.02,0.02,0.16,0.08,0.02,2.6,4.372,20.52,1043.6,1.36,0.3,0.8,1.24,11.538,0.24,0.18,0.16,1.66,1.36,0.3
"67","CBJ","D","2019-03-12",0.06,0.14,0.2,0.92,0.4,0.06,0,0,0.02,0.14,0,0,1.32,2.666,23.78,1138.94,1.8,1,0,0,0,0.02,0.3,0.22,1.08,1.58,1.24
"68","CBJ","C","2019-03-12",0.02,0.18,0.2,0.7,0.2,0.02,0,0,0,0.18,0,0,1.24,0.666,16.78,866.22,1.4,0.42,4.58,3.56,36.412,0.18,0.34,0.2,1.58,1.24,0.64
"69","CBJ","F","2019-03-12",0.2,0.22,0.42,0.98,0.56,0.12,0.06,0.02,0.02,0.16,0.06,0,2.5,5.138,20.52,1052.48,1.38,0.38,0.76,1.16,15.884,0.4,0.26,0.24,2.16,1.28,0.24
"70","CBJ","D","2019-03-11",0.06,0.18,0.24,0.98,0.48,0.06,0,0,0.02,0.14,0.04,0,1.28,2.666,24.36,1149.72,1.7,1.1,0,0,0,0,0.3,0.2,1.48,1.3,1.48
"71","CBJ","C","2019-03-11",0.06,0.26,0.32,0.7,0,0.06,0,0,0,0.2,0.04,0.02,1.24,6,17.22,858.02,1.1,0.36,4.8,3.34,43.106,0.16,0.2,0.12,1.96,1.16,0.38
"72","CBJ","F","2019-03-11",0.22,0.24,0.46,1.02,0.48,0.14,0.06,0.02,0.02,0.18,0.06,0,2.4,7.138,20,1009.72,1.2,0.38,0.74,1.1,15.318,0.32,0.14,0.08,1.98,1.4,0.54
"73","CBJ","D","2019-03-09",0.06,0.18,0.24,0.98,0.46,0.06,0,0,0.02,0.12,0.04,0.02,1.64,2.666,24.72,1170.46,1.9,1.06,0,0,0,0.12,0.14,0.1,1.74,1.52,1.58
"74","CBJ","C","2019-03-09",0.06,0.2,0.26,0.74,0.12,0.06,0,0,0.02,0.14,0.04,0.02,1.22,4.5,17.72,880.82,1.42,0.32,5.34,3.52,37.362,0.14,0.26,0.24,1.7,0.78,0.42
"75","CBJ","F","2019-03-09",0.24,0.26,0.5,0.98,0.56,0.16,0.06,0.02,0.02,0.2,0.06,0,2.26,8.732,20.44,1028.34,1.08,0.44,0.72,1.2,14.024,0.2,0.16,0.12,2.4,1.56,0.46
"76","CBJ","D","2019-03-07",0.06,0.2,0.26,1,0.38,0.06,0,0,0.02,0.14,0.04,0.02,1.7,2.666,25.26,1196.62,1.8,1.12,0,0,0,0.06,0.26,0.22,1.34,1.4,1.48
"77","CBJ","C","2019-03-07",0.06,0.24,0.3,0.68,0.08,0.06,0,0,0.02,0.18,0.04,0.02,1.56,4.5,18.44,896.22,1.16,0.34,5.84,4.02,35.59,0.2,0.1,0.1,1.78,1.16,0.46
"78","CBJ","F","2019-03-07",0.26,0.26,0.52,1,0.6,0.18,0.06,0.02,0.02,0.2,0.06,0,2.26,10.732,20.38,1012.2,0.94,0.44,0.74,1.16,19.366,0.16,0.3,0.2,1.78,1.44,0.36
"79","CBJ","D","2019-03-05",0.06,0.22,0.28,1.02,0.38,0.06,0,0,0.02,0.16,0.04,0.02,1.78,2.666,25.38,1193.98,1.48,1.06,0,0,0,0.1,0.24,0.22,1.92,1.38,1.28
"80","CBJ","C","2019-03-05",0.1,0.36,0.46,0.74,0.24,0.08,0.02,0,0.02,0.28,0.06,0.02,1.62,8.5,20.28,948.42,1.36,0.36,7.52,5.22,28.694,0.1,0.2,0.18,1.76,1.02,0.54
"81","CBJ","F","2019-03-05",0.28,0.28,0.56,1.12,0.6,0.2,0.06,0.02,0.04,0.22,0.06,0,2.42,11.232,20.54,1003.08,0.84,0.42,0.9,1.22,13.496,0.26,0.18,0.14,1.74,1.08,0.38
"82","CBJ","D","2019-03-03",0.04,0.22,0.26,0.98,0.42,0.04,0,0,0.02,0.16,0.04,0.02,1.7,1.666,25.38,1201.78,1.52,1.1,0,0,0,0.16,0.3,0.24,1.56,1.36,1.32
"83","CBJ","C","2019-03-03",0.14,0.36,0.5,0.62,0.24,0.12,0.02,0,0.02,0.28,0.06,0.02,1.64,11.5,19.86,910.9,1.34,0.38,6.58,4.6,39.544,0.08,0.3,0.26,1.5,1.44,0.6
"84","CBJ","F","2019-03-03",0.32,0.26,0.58,1.2,0.42,0.26,0.04,0.02,0.04,0.24,0.02,0,2.3,12.532,20.94,1008.74,0.96,0.44,1.02,1.48,18.468,0.24,0.3,0.24,2.24,1.5,0.5
"85","CBJ","D","2019-03-02",0.04,0.24,0.28,0.96,0.42,0.04,0,0,0.02,0.18,0.04,0.02,1.54,1.666,24.66,1161.18,1.62,1.06,0,0,0,0.06,0.36,0.26,1.54,1.62,1.64
